schema,tableName,numberofRows,reservedSize (KB),dataSize (KB),indexSize (KB),unusedSize (KB)
settings,ActiveDirectoryPrincipal,1,144,8,24,112
settings,ActiveDirectoryPrincipalAuthorisation,0,0,0,0,0
alert,Alert,2421,6272,2384,3488,400
alert,Alert_Comment,0,0,0,0,0
alert,Alert_Severity,4310,480,352,40,88
alert,Alert_Type,58,72,24,16,32
config,AlertConfiguration,1,72,8,8,56
config,AlertOverride,0,0,0,0,0
settings,AlertType,0,0,0,0,0
alert,Annotation,1,144,8,24,112
settings,AzureSqlDatabases,3,144,8,24,112
config,AzureSqlServer_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_AlertOverride,0,0,0,0,0
config,AzureSqlServer_Database_AccessMethods_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_AccessMethods_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_AccessMethods_UnstableSamples,220877,12200,12032,120,48
config,AzureSqlServer_Database_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_AlertOverride,0,0,0,0,0
config,AzureSqlServer_Database_BufferManager_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_BufferManager_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_BufferManager_UnstableSamples,220878,12200,12032,120,48
config,AzureSqlServer_Database_CustomMetric_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_CustomMetric_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_CustomMetric_Keys,0,0,0,0,0
data,AzureSqlServer_Database_CustomMetric_Sightings,0,0,0,0,0
data,AzureSqlServer_Database_CustomMetric_StableSamples,0,0,0,0,0
data,AzureSqlServer_Database_CustomMetric_UnstableSamples,0,0,0,0,0
config,AzureSqlServer_Database_ExtendedEvents_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_ExtendedEvents_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_ExtendedEvents_Instances,0,0,0,0,0
data,AzureSqlServer_Database_ExtendedEvents_Keys,0,0,0,0,0
data,AzureSqlServer_Database_ExtendedEvents_Sightings,0,0,0,0,0
config,AzureSqlServer_Database_GeneralStatistics_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_GeneralStatistics_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_GeneralStatistics_UnstableSamples,220878,10472,10288,104,80
data,AzureSqlServer_Database_Keys,2,216,8,40,168
config,AzureSqlServer_Database_Latches_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_Latches_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_Latches_UnstableSamples,220876,12200,12032,120,48
config,AzureSqlServer_Database_Locks_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_Locks_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_Locks_UnstableSamples,220876,15720,15504,136,80
config,AzureSqlServer_Database_MemoryManager_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_MemoryManager_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_MemoryManager_UnstableSamples,220878,13992,13808,136,48
config,AzureSqlServer_Database_Performance_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_Performance_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_Performance_UnstableSamples,20234,1896,1608,48,240
config,AzureSqlServer_Database_Properties_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_Properties_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_Properties_StableSamples,2,72,8,8,56
config,AzureSqlServer_Database_QueryPlans_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_QueryPlans_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_QueryPlans_Instances,18,440,224,32,184
data,AzureSqlServer_Database_QueryPlans_Keys,18,216,8,40,168
data,AzureSqlServer_Database_QueryPlans_Sightings,829,296,48,120,128
config,AzureSqlServer_Database_Resources_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_Resources_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_Resources_StableSamples,2,72,8,8,56
data,AzureSqlServer_Database_Resources_UnstableSamples,220288,19176,18960,168,48
data,AzureSqlServer_Database_Sightings,5526,640,216,288,136
config,AzureSqlServer_Database_SqlProcess_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_SqlProcess_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_SqlProcess_Instances,14,72,8,8,56
data,AzureSqlServer_Database_SqlProcess_Keys,14,216,8,40,168
data,AzureSqlServer_Database_SqlProcess_Sightings,8086,1016,328,408,280
data,AzureSqlServer_Database_SqlProcess_UnstableSamples,161546,62312,61584,504,224
config,AzureSqlServer_Database_SqlStatistics_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_SqlStatistics_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_SqlStatistics_UnstableSamples,220876,13992,13808,136,48
config,AzureSqlServer_Database_SqlText_AlertConfiguration,0,0,0,0,0
config,AzureSqlServer_Database_SqlText_AlertOverride,0,0,0,0,0
data,AzureSqlServer_Database_SqlText_Instances,2,72,8,8,56
data,AzureSqlServer_Database_SqlText_Keys,2,216,8,40,168
data,AzureSqlServer_Database_SqlText_Sightings,2,144,8,24,112
data,AzureSqlServer_Database_StableSamples,12,72,8,8,56
